FIPS,State,County,TOT_POP,TOT_MALE,TOT_FEMALE,pop_den_permile,diab_perc,hyper_perc,old_perc,CRUDE_RATE,CRD_MR,GEOID,Latitude,Longitude,CGPS
1001,Alabama,AUTAUGA COUNTY,55601,26995,28606,91.8,9.9,40.38,0.11,553.5,81.79,0500000US01001,32.53492165,-86.64274304,AUTAUGA
1003,Alabama,BALDWIN COUNTY,218022,105657,112365,114.6,8.5,38.15,0.14,598.0,54.28,0500000US01003,30.72748439,-87.72257009,BALDWIN
1005,Alabama,BARBOUR COUNTY,24881,13133,11748,31.0,15.7,48.28,0.13,546.0,69.82,0500000US01005,31.86957921,-85.39321162,BARBOUR
1007,Alabama,BIBB COUNTY,22400,11921,10479,36.8,13.3,44.87,0.11,566.0,84.49,0500000US01007,32.9986234,-87.12647707,BIBB
1009,Alabama,BLOUNT COUNTY,57840,28500,29340,88.9,14.9,41.81,0.13,551.0,87.05,0500000US01009,33.98086948,-86.56737928,BLOUNT
1011,Alabama,BULLOCK COUNTY,10138,5527,4611,17.5,22.4,52.45,0.11,569.5,51.49,0500000US01011,32.10052535,-85.71567887,BULLOCK
1013,Alabama,BUTLER COUNTY,19680,9165,10515,27.0,16.9,47.15,0.14,546.0,75.09,0500000US01013,31.75244145,-86.68029177,BUTLER
1015,Alabama,CALHOUN COUNTY,114277,54914,59363,195.7,15.6,44.27,0.12,557.5,87.32,0500000US01015,33.77141933,-85.82604969,CALHOUN
1017,Alabama,CHAMBERS COUNTY,33615,16093,17522,57.4,17.5,46.86,0.13,707.0,84.00,0500000US01017,32.91434666,-85.39202904,CHAMBERS
1019,Alabama,CHEROKEE COUNTY,26032,12896,13136,46.9,12.2,43.58,0.16,627.0,93.04,0500000US01019,34.1759043,-85.603803,CHEROKEE
1021,Alabama,CHILTON COUNTY,44153,21668,22485,63.0,16.8,42.75,0.11,508.0,88.02,0500000US01021,32.84786373,-86.71879906,CHILTON
1023,Alabama,CHOCTAW COUNTY,12841,6070,6771,15.2,13.9,47.28,0.16,635.5,60.19,0500000US01023,32.01977245,-88.26317884,CHOCTAW
1025,Alabama,CLARKE COUNTY,23920,11328,12592,20.9,20.1,47.73,0.14,624.0,69.30,0500000US01025,31.67667619,-87.83080894,CLARKE
1027,Alabama,CLAY COUNTY,13275,6492,6783,23.1,11.2,42.92,0.14,642.5,76.28,0500000US01027,33.26902397,-85.86057933,CLAY
1029,Alabama,CLEBURNE COUNTY,14987,7421,7566,26.7,10.4,42.43,0.13,612.0,92.84,0500000US01029,33.67451865,-85.51881716,CLEBURNE
1031,Alabama,COFFEE COUNTY,51909,25521,26388,73.6,14.4,41.72,0.12,498.5,79.42,0500000US01031,31.4026474,-85.98815339,COFFEE
1033,Alabama,COLBERT COUNTY,54762,26259,28503,91.8,13.5,43.14,0.14,583.5,80.43,0500000US01033,34.70046997,-87.80492648,COLBERT
1035,Alabama,CONECUH COUNTY,12277,5881,6396,15.6,23.7,46.5,0.16,634.5,76.40,0500000US01035,31.42923169,-86.99366638,CONECUH
