SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
50,1,1,Alabama,Autauga County,11,0,55601,26995,28606,20859,21801,5153,5762,121,146,301,380,33,29,528,488,21334,22246,5442,6021,277,294,453,509,58,59,26135,27817,20157,21159,5074,5681,105,138,297,373,20,23,482,443,20596,21566,5334,5919,241,261,434,492,36,47,860,789,702,642,79,81,16,8,4,7,13,6,46,45,738,680,108,102,36,33,19,17,22,12
50,1,3,Alabama,Baldwin County,11,0,218022,105657,112365,92471,97830,9400,10092,886,798,933,1575,73,73,1894,1997,94249,99703,10187,10936,1768,1707,1374,2030,176,178,100355,107536,87729,93472,9233,9918,746,715,912,1561,49,62,1686,1808,89325,95187,9928,10683,1509,1515,1305,1973,120,144,5302,4829,4742,4358,167,174,140,83,21,14,24,11,208,189,4924,4516,259,253,259,192,69,57,56,34
50,1,5,Alabama,Barbour County,11,0,24881,13133,11748,6410,5799,6370,5672,97,67,52,61,30,16,174,133,6535,5914,6498,5766,175,113,73,78,34,19,12549,11268,5950,5406,6326,5625,46,39,52,61,19,8,156,129,6063,5518,6440,5717,113,82,72,78,23,11,584,480,460,393,44,47,51,28,0,0,11,8,18,4,472,396,58,49,62,31,1,0,11,8
50,1,7,Alabama,Bibb County,11,0,22400,11921,10479,8762,8449,2954,1816,48,50,19,34,22,4,116,126,8865,8565,3018,1888,96,105,38,47,30,9,11586,10226,8481,8227,2928,1803,45,41,18,34,5,1,109,120,8579,8337,2987,1872,89,91,37,47,12,6,335,253,281,222,26,13,3,9,1,0,17,3,7,6,286,228,31,16,7,14,1,0,18,3
50,1,9,Alabama,Blount County,11,0,57840,28500,29340,27307,28149,507,443,195,183,82,103,44,26,365,436,27648,28563,646,605,386,419,144,169,54,39,25561,26743,24548,25707,445,401,149,149,70,91,14,7,335,388,24860,26081,567,546,328,354,128,152,22,16,2939,2597,2759,2442,62,42,46,34,12,12,30,19,30,48,2788,2482,79,59,58,65,16,17,32,23
50,1,11,Alabama,Bullock County,11,0,10138,5527,4611,1615,1046,3749,3419,40,45,7,12,40,36,76,53,1680,1093,3791,3448,73,62,18,23,44,43,5103,4228,1358,793,3676,3374,8,16,6,7,3,2,52,36,1403,826,3704,3394,30,26,13,13,5,6,424,383,257,253,73,45,32,29,1,5,37,34,24,17,277,267,87,54,43,36,5,10,39,37
50,1,13,Alabama,Butler County,11,0,19680,9165,10515,4899,5384,3962,4877,38,36,160,99,5,5,101,114,4988,5493,4024,4941,76,67,172,122,9,15,9009,10374,4800,5287,3925,4844,36,33,154,96,4,5,90,109,4879,5392,3979,4904,69,63,166,119,8,14,156,141,99,97,37,33,2,3,6,3,1,0,11,5,109,101,45,37,7,4,6,3,1,1
50,1,15,Alabama,Calhoun County,11,0,114277,54914,59363,41758,44268,11230,12923,317,300,435,667,62,64,1112,1141,42776,45316,11842,13560,701,702,681,931,137,144,52602,57206,39847,42461,11050,12777,243,225,417,648,51,52,994,1043,40765,43428,11596,13360,580,580,632,886,110,118,2312,2157,1911,1807,180,146,74,75,18,19,11,12,118,98,2011,1888,246,200,121,122,49,45,27,26
50,1,17,Alabama,Chambers County,11,0,33615,16093,17522,9291,9891,6253,7193,55,48,279,167,10,5,205,218,9477,10096,6379,7332,134,110,299,197,16,18,15617,17137,8973,9593,6158,7142,37,41,264,162,4,4,181,195,9136,9778,6268,7269,110,91,282,189,8,13,476,385,318,298,95,51,18,7,15,5,6,1,24,23,341,318,111,63,24,19,17,8,8,5
50,1,19,Alabama,Cherokee County,11,0,26032,12896,13136,11983,12234,572,537,89,83,33,55,5,3,214,224,12184,12445,660,632,211,198,51,86,13,9,12671,12939,11792,12068,571,533,77,71,32,50,1,0,198,217,11978,12275,652,624,189,180,48,79,7,6,225,197,191,166,1,4,12,12,1,5,4,3,16,7,206,170,8,8,22,18,3,7,6,3
50,1,21,Alabama,Chilton County,11,0,44153,21668,22485,18888,19571,2216,2363,129,121,87,128,48,29,300,273,19167,19824,2390,2510,235,223,129,175,63,44,19718,20935,17190,18194,2110,2291,77,82,78,117,8,6,255,245,17430,18424,2257,2425,163,171,113,159,19,15,1950,1550,1698,1377,106,72,52,39,9,11,40,23,45,28,1737,1400,133,85,72,52,16,16,44,29
50,1,23,Alabama,Choctaw County,11,0,12841,6070,6771,3587,3756,2418,2937,14,10,7,16,0,0,44,52,3622,3806,2443,2962,29,31,15,24,6,1,6004,6703,3537,3704,2405,2926,13,10,7,13,0,0,42,50,3570,3752,2429,2950,28,30,14,21,6,1,66,68,50,52,13,11,1,0,0,3,0,0,2,2,52,54,14,12,1,1,1,3,0,0
50,1,25,Alabama,Clarke County,11,0,23920,11328,12592,6191,6590,4925,5749,53,73,46,58,4,1,109,121,6291,6699,4991,5812,90,114,61,84,12,9,11156,12438,6068,6492,4892,5711,45,64,44,56,4,1,103,114,6162,6595,4955,5770,79,104,57,79,11,9,172,154,123,98,33,38,8,9,2,2,0,0,6,7,129,104,36,42,11,10,4,5,1,0
50,1,27,Alabama,Clay County,11,0,13275,6492,6783,5431,5615,892,976,29,43,16,16,0,0,124,133,5548,5741,963,1057,75,83,24,33,7,3,6275,6600,5238,5452,873,963,27,39,14,14,0,0,123,132,5354,5577,943,1044,73,79,22,30,7,3,217,183,193,163,19,13,2,4,2,2,0,0,1,1,194,164,20,13,2,4,2,3,0,0
50,1,29,Alabama,Cleburne County,11,0,14987,7421,7566,7070,7164,201,240,34,40,10,23,10,1,96,98,7162,7255,247,294,79,74,18,39,13,3,7216,7399,6890,7017,197,233,28,36,8,23,1,0,92,90,6979,7100,242,284,71,68,15,37,3,1,205,167,180,147,4,7,6,4,2,0,9,1,4,8,183,155,5,10,8,6,3,2,10,2
50,1,31,Alabama,Coffee County,11,0,51909,25521,26388,19529,19839,4389,4803,364,368,300,549,129,77,810,752,20260,20519,4748,5115,685,667,501,765,186,129,23420,24554,17888,18373,4246,4676,289,299,272,531,42,27,683,648,18513,18964,4542,4943,548,551,450,716,84,59,2101,1834,1641,1466,143,127,75,69,28,18,87,50,127,104,1747,1555,206,172,137,116,51,49,102,70
50,1,33,Alabama,Colbert County,11,0,54762,26259,28503,21326,22812,4092,4783,188,175,135,188,21,20,497,525,21797,23304,4350,5067,397,381,182,252,40,36,25467,27830,20670,22262,4034,4727,158,156,131,183,17,17,457,485,21103,22718,4269,4994,353,345,174,238,32,32,792,673,656,550,58,56,30,19,4,5,4,3,40,40,694,586,81,73,44,36,8,14,8,4
50,1,35,Alabama,Conecuh County,11,0,12277,5881,6396,3152,3187,2599,3081,36,27,10,16,2,2,82,83,3226,3264,2640,3125,75,60,18,30,8,3,5740,6273,3066,3110,2560,3046,35,27,9,16,1,2,69,72,3128,3176,2592,3084,71,56,17,28,5,3,141,123,86,77,39,35,1,0,1,0,1,0,13,11,98,88,48,41,4,4,1,2,3,0
50,1,37,Alabama,Coosa County,11,0,10715,5399,5316,3671,3496,1612,1697,40,24,4,11,7,11,65,77,3729,3568,1638,1731,77,59,12,22,11,15,5251,5194,3584,3422,1586,1679,24,18,2,11,0,1,55,63,3635,3483,1607,1707,57,47,8,17,1,4,148,122,87,74,26,18,16,6,2,0,7,10,10,14,94,85,31,24,20,12,4,5,10,11
50,1,39,Alabama,Covington County,11,0,36986,17896,19090,15220,16049,2147,2517,136,120,84,88,2,2,307,314,15516,16356,2315,2684,265,238,106,121,7,9,17564,18775,14969,15799,2108,2494,121,104,78,81,1,1,287,296,15245,16090,2262,2650,244,216,99,111,6,7,332,315,251,250,39,23,15,16,6,7,1,1,20,18,271,266,53,34,21,22,7,10,1,2
50,1,41,Alabama,Crenshaw County,11,0,13824,6674,7150,4908,5154,1499,1745,39,48,82,73,4,2,142,128,5042,5277,1593,1816,86,93,93,90,6,4,6502,7002,4768,5040,1483,1727,38,42,77,72,1,1,135,120,4896,5156,1571,1793,83,83,88,87,3,3,172,148,140,114,16,18,1,6,5,1,3,1,7,8,146,121,22,23,3,10,5,3,3,1
50,1,43,Alabama,Cullman County,11,0,83442,41245,42197,39513,40472,614,502,268,271,216,345,36,36,598,571,40082,41007,812,694,622,592,289,422,60,61,39355,40388,37824,38822,546,460,228,227,202,331,26,28,529,520,38330,39316,711,627,544,524,267,395,46,48,1890,1809,1689,1650,68,42,40,44,14,14,10,8,69,51,1752,1691,101,67,78,68,22,27,14,13
