Table with column headers in rows 3 and 4,,,,,
State FIPS Code,County FIPS Code,Postal Code,Name,"Poverty Estimate, All Ages","Poverty Percent, All Ages"
00,000,US,United States,"41,852,315",13.1
01,000,AL,Alabama,"801,758",16.8
01,001,AL,Autauga County,"7,587",13.8
01,003,AL,Baldwin County,"21,069",9.8
01,005,AL,Barbour County,"6,788",30.9
01,007,AL,Bibb County,"4,400",21.8
01,009,AL,Blount County,"7,527",13.2
01,011,AL,Bullock County,"3,610",42.5
01,013,AL,Butler County,"4,731",24.5
01,015,AL,Calhoun County,"21,719",19.5
01,017,AL,Chambers County,"6,181",18.7
01,019,AL,Cherokee County,"4,180",16.3
01,021,AL,Chilton County,"7,542",17.3
01,023,AL,Choctaw County,"2,806",22.1
01,025,AL,Clarke County,"5,381",22.8
01,027,AL,Clay County,"2,285",17.6
01,029,AL,Cleburne County,"2,356",16.0
01,031,AL,Coffee County,"7,053",13.8
01,033,AL,Colbert County,"7,459",13.8
01,035,AL,Conecuh County,"2,979",24.4
01,037,AL,Coosa County,"1,973",18.9
01,039,AL,Covington County,"7,239",19.9
01,041,AL,Crenshaw County,"2,661",19.5
01,043,AL,Cullman County,"11,925",14.5
01,045,AL,Dale County,"7,743",16.2
01,047,AL,Dallas County,"11,841",31.4
01,049,AL,DeKalb County,"14,975",21.3
01,051,AL,Elmore County,"8,559",11.2
01,053,AL,Escambia County,"8,022",23.6
01,055,AL,Etowah County,"17,509",17.5
01,057,AL,Fayette County,"3,801",23.5
01,059,AL,Franklin County,"5,939",19.2
01,061,AL,Geneva County,"5,537",21.3
01,063,AL,Greene County,"2,459",30.1
01,065,AL,Hale County,"3,705",25.6
01,067,AL,Henry County,"3,037",17.9
01,069,AL,Houston County,"17,032",16.5
01,071,AL,Jackson County,"10,046",19.7
01,073,AL,Jefferson County,"103,604",16.1
01,075,AL,Lamar County,"2,374",17.4
01,077,AL,Lauderdale County,"12,645",14.0
01,079,AL,Lawrence County,"6,297",19.3
01,081,AL,Lee County,"30,075",19.0
01,083,AL,Limestone County,"10,633",11.4
01,085,AL,Lowndes County,"2,474",25.1
01,087,AL,Macon County,"5,031",30.2
01,089,AL,Madison County,"42,667",11.9
01,091,AL,Marengo County,"4,499",24.0
01,093,AL,Marion County,"5,844",20.2
01,095,AL,Marshall County,"17,341",18.3
01,097,AL,Mobile County,"84,539",20.8
01,099,AL,Monroe County,"4,560",21.9
01,101,AL,Montgomery County,"43,567",20.1
01,103,AL,Morgan County,"15,419",13.2
01,105,AL,Perry County,"2,943",35.3
01,107,AL,Pickens County,"4,177",23.1
01,109,AL,Pike County,"7,315",23.6
01,111,AL,Randolph County,"4,375",19.7
01,113,AL,Russell County,"12,384",21.7
01,115,AL,St. Clair County,"10,432",12.0
01,117,AL,Shelby County,"16,916",8.0
01,119,AL,Sumter County,"4,076",34.7
01,121,AL,Talladega County,"14,825",19.3
01,123,AL,Tallapoosa County,"7,839",19.7
01,125,AL,Tuscaloosa County,"33,330",16.8
01,127,AL,Walker County,"11,231",17.9
01,129,AL,Washington County,"2,846",17.6
01,131,AL,Wilcox County,"3,504",33.4
01,133,AL,Winston County,"4,338",18.6
02,000,AK,Alaska,"80,224",11.1
02,013,AK,Aleutians East Borough,544,15.5
02,016,AK,Aleutians West Census Area,550,10.0
02,020,AK,Anchorage Borough,"27,075",9.5
02,050,AK,Bethel Census Area,"5,869",32.7
02,060,AK,Bristol Bay Borough,96,11.2
02,068,AK,Denali Borough,135,6.9
02,070,AK,Dillingham Census Area,"1,091",22.0
02,090,AK,Fairbanks North Star Borough,"8,104",8.6
02,100,AK,Haines Borough,259,10.5
02,105,AK,Hoonah-Angoon Census Area,370,17.2
02,110,AK,Juneau Borough,"2,299",7.3
02,122,AK,Kenai Peninsula Borough,"7,103",12.4
02,130,AK,Ketchikan Gateway Borough,"1,244",9.1
02,150,AK,Kodiak Island Borough,"1,073",8.2
02,158,AK,Kusilvak Census Area,"2,905",35.1
02,164,AK,Lake and Peninsula Borough,288,18.2
02,170,AK,Matanuska-Susitna Borough,"10,937",10.4
02,180,AK,Nome Census Area,"2,168",22.0
02,185,AK,North Slope Borough,"1,094",11.1
02,188,AK,Northwest Arctic Borough,"1,604",21.1
02,195,AK,Petersburg Borough,232,7.2
02,198,AK,Prince of Wales-Hyder Census Area,"1,057",16.5
02,220,AK,Sitka Borough,656,7.7
02,230,AK,Skagway Municipality,49,4.3
02,240,AK,Southeast Fairbanks Census Area,918,13.4
02,261,AK,Valdez-Cordova Census Area,880,9.7
02,275,AK,Wrangell City and Borough,287,11.6
02,282,AK,Yakutat Borough,79,13.1
02,290,AK,Yukon-Koyukuk Census Area,"1,259",23.7
04,000,AZ,Arizona,"990,291",14.1
04,001,AZ,Apache County,"26,435",37.3
04,003,AZ,Cochise County,"18,273",15.1
04,005,AZ,Coconino County,"20,964",15.9
04,007,AZ,Gila County,"10,804",20.4
04,009,AZ,Graham County,"7,118",20.2
04,011,AZ,Greenlee County,985,10.5
04,012,AZ,La Paz County,"4,921",23.7
04,013,AZ,Maricopa County,"535,183",12.3
04,015,AZ,Mohave County,"34,411",16.8
04,017,AZ,Navajo County,"30,876",28.5
04,019,AZ,Pima County,"164,927",16.2
04,021,AZ,Pinal County,"54,399",12.9
04,023,AZ,Santa Cruz County,"11,287",24.4
04,025,AZ,Yavapai County,"30,060",13.2
04,027,AZ,Yuma County,"39,648",19.5
05,000,AR,Arkansas,"492,306",16.8
05,001,AR,Arkansas County,"3,120",17.9
05,003,AR,Ashley County,"3,876",19.6
05,005,AR,Baxter County,"6,216",15.1
05,007,AR,Benton County,"23,290",8.6
05,009,AR,Boone County,"5,472",14.8
05,011,AR,Bradley County,"2,329",21.7
05,013,AR,Calhoun County,800,15.7
05,015,AR,Carroll County,"4,499",16.1
05,017,AR,Chicot County,"3,039",31.4
05,019,AR,Clark County,"3,838",19.9
05,021,AR,Clay County,"3,035",20.7
05,023,AR,Cleburne County,"3,573",14.6
05,025,AR,Cleveland County,"1,232",15.5
05,027,AR,Columbia County,"4,799",22.4
05,029,AR,Conway County,"3,693",17.9
05,031,AR,Craighead County,"18,768",17.9
05,033,AR,Crawford County,"10,027",16.0
05,035,AR,Crittenden County,"9,056",19.2
05,037,AR,Cross County,"2,940",18.0
05,039,AR,Dallas County,"1,442",21.3
05,041,AR,Desha County,"2,780",24.3
05,043,AR,Drew County,"3,391",19.5
05,045,AR,Faulkner County,"18,571",15.4
05,047,AR,Franklin County,"3,202",18.3
05,049,AR,Fulton County,"2,481",20.6
05,051,AR,Garland County,"19,844",20.4
05,053,AR,Grant County,"2,353",13.1
05,055,AR,Greene County,"7,361",16.5
05,057,AR,Hempstead County,"4,424",20.6
05,059,AR,Hot Spring County,"5,844",18.7
05,061,AR,Howard County,"2,271",17.3
05,063,AR,Independence County,"5,302",14.5
05,065,AR,Izard County,"2,358",18.7
05,067,AR,Jackson County,"3,732",25.6
05,069,AR,Jefferson County,"13,900",22.2
05,071,AR,Johnson County,"5,761",22.2
05,073,AR,Lafayette County,"1,498",22.8
05,075,AR,Lawrence County,"2,776",17.7
05,077,AR,Lee County,"3,098",43.0
05,079,AR,Lincoln County,"2,647",27.5
05,081,AR,Little River County,"1,942",16.0
05,083,AR,Logan County,"3,950",18.6
05,085,AR,Lonoke County,"8,651",11.9
05,087,AR,Madison County,"3,002",18.4
05,089,AR,Marion County,"3,082",18.7
05,091,AR,Miller County,"9,228",21.9
05,093,AR,Mississippi County,"10,325",25.7
05,095,AR,Monroe County,"1,769",26.0
05,097,AR,Montgomery County,"1,649",18.8
05,099,AR,Nevada County,"1,738",21.3
05,101,AR,Newton County,"1,340",17.4
05,103,AR,Ouachita County,"5,410",23.3
05,105,AR,Perry County,"1,502",14.7
05,107,AR,Phillips County,"6,301",35.4
05,109,AR,Pike County,"1,856",17.8
05,111,AR,Poinsett County,"5,592",23.7
05,113,AR,Polk County,"3,962",20.0
05,115,AR,Pope County,"9,647",16.0
05,117,AR,Prairie County,"1,254",15.8
05,119,AR,Pulaski County,"64,312",16.7
05,121,AR,Randolph County,"3,050",17.4
05,123,AR,St. Francis County,"7,586",35.6
05,125,AR,Saline County,"11,695",9.7
05,127,AR,Scott County,"2,054",20.2
05,129,AR,Searcy County,"1,912",24.3
05,131,AR,Sebastian County,"19,527",15.6
05,133,AR,Sevier County,"3,402",20.1
05,135,AR,Sharp County,"3,541",20.7
05,137,AR,Stone County,"2,497",20.3
05,139,AR,Union County,"7,000",18.2
05,141,AR,Van Buren County,"2,685",16.4
05,143,AR,Washington County,"34,741",15.2
05,145,AR,White County,"12,505",16.6
05,147,AR,Woodruff County,"1,509",23.7
05,149,AR,Yell County,"3,453",16.3
06,000,CA,California,"4,972,955",12.8
06,001,CA,Alameda County,"147,394",9.0
06,003,CA,Alpine County,190,17.3
06,005,CA,Amador County,"4,130",11.8
06,007,CA,Butte County,"42,016",18.5
06,009,CA,Calaveras County,"5,454",12.1
06,011,CA,Colusa County,"2,350",11.0
06,013,CA,Contra Costa County,"88,980",7.8
06,015,CA,Del Norte County,"5,065",20.4
06,017,CA,El Dorado County,"15,401",8.1
06,019,CA,Fresno County,"208,627",21.3
06,021,CA,Glenn County,"4,271",15.4
06,023,CA,Humboldt County,"27,002",20.3
06,025,CA,Imperial County,"37,014",21.4
06,027,CA,Inyo County,"2,172",12.3
06,029,CA,Kern County,"177,021",20.5
06,031,CA,Kings County,"25,481",18.8
06,033,CA,Lake County,"11,689",18.4
06,035,CA,Lassen County,"3,653",15.8
06,037,CA,Los Angeles County,"1,409,155",14.2
06,039,CA,Madera County,"30,201",20.2
06,041,CA,Marin County,"16,742",6.6
06,043,CA,Mariposa County,"2,569",14.9
06,045,CA,Mendocino County,"15,140",17.5
06,047,CA,Merced County,"56,863",21.2
06,049,CA,Modoc County,"1,631",19.1
06,051,CA,Mono County,"1,312",9.3
06,053,CA,Monterey County,"55,614",13.3
06,055,CA,Napa County,"11,829",8.8
06,057,CA,Nevada County,"10,171",10.3
06,059,CA,Orange County,"330,559",10.5
06,061,CA,Placer County,"27,596",7.1
06,063,CA,Plumas County,"2,317",12.5
06,065,CA,Riverside County,"307,511",12.7
06,067,CA,Sacramento County,"217,138",14.3
06,069,CA,San Benito County,"5,294",8.6
06,071,CA,San Bernardino County,"317,514",14.9
06,073,CA,San Diego County,"372,148",11.5
06,075,CA,San Francisco County,"87,596",10.1
06,077,CA,San Joaquin County,"105,351",14.3
